"ACTIVITY_KEY"	"ACTIVITYALT_KEY"	"ACTIVITYNAME"	"ACTIVITYSHORTNAME"	"ACTIVITYSHORTNAMEENUM"	"ACTIVITYGROUP"	"ACTIVITYSUBGROUP"	"ACTIVITYSEGMENT"	"ACTIVITYVALIDCODE"	"INDUSTRYALT_KEY"	"BSR1ACODE"	"BSR1BCODE"	"FOODPRO"	"ACTIVITYLBRCODE"	"ASSETCLASS"	"BSR3CODE"	"CIBIL_CONSUMERACTYPE"	"COMODITYCODE"	"SECTORLBRCODE"	"SICKINDUSTRYCODE"	"SICKSSIINDALT_KEY"	"ASSETCLASSNORM"	"OTHERASSETS"	"MINORACTIVITY"	"SHGACTIVITY"	"PROD"	"INV"	"NF"	"ACT_TYPE"	"LBRGROUP"	"LBRSUBGROUP"	"LBRCODE"	"ACT_PH"	"CIBILBUSINESSINDUSTRYTYPE"	"SICCODE"	"ACTIVITYSUBGROUPDESCRIPTION"	"INTREST_FREQ"	"SRCSYSACTIVITYCODE"	"SRCSYSACTIVITYCODE1"	"SRCSYSACTIVITYNAME"	"SRCSYSACTIVITYNAME1"	"DESTSYSACTIVITYCODE"	"AUTHORISATIONSTATUS"	"EFFECTIVEFROMTIMEKEY"	"EFFECTIVETOTIMEKEY"	"CREATEDBY"	"DATECREATED"	"MODIFIEDBY"	"DATEMODIFIE"	"APPROVEDBY"	"DATEAPPROVED"	"D2KTIMESTAMP"	"VCI"	"IRBMARK"	"EWSINDUSTRYALT_KEY"	"BSEINDUSTRYALT_KEY"	"EWSKEYSECTORALT_KEY"	"NEWACTIVITYSEGMENT"	"ALLIED_AGR"
132	2360	"AGRO PROC - OIL EXTRACTION FROM VEG SEED / GRAINS"	"AG PRO OIL EXTR SEED"	"AG PRO OIL EXTR SEED"	"AGRICULTURE"	"AGR-OTH"	" "	"Y"	16	"15104"	"202"		""	"NORMAL"	""	"53"	"204"	""	""	65	"NONAGRI"	""	""	""	""	""	""	""	""	""		""	"09"	""	"AGRICULTURE-OTHERS"	""	"2360"	""	"AGRO PROC - OIL EXTRACTION FROM VEG SEED / GRAINS"	""	""	""	1400	49999	""		""		""		00000000000F13CD	""	""				"AGRI-Ancillary"	"N"
458	4073	"KEROSENE"	"KEROSENE-RTL"	"KEROSENE-RTL"	"TRADING"	"RTL"	" "	"Y"		"52313"	"520"		""	"NORMAL"	""	"00"	"517"	""	""	95	"NONAGRI"	"E"	"C"	"C"	"C"	"E"	"C"	""	"OTHER PRIORITY SECTOR"	"RETAIL TRADE/SMALL BUSINESS"	74	""	"04"	""	"RETAIL TRADE"	""	"4073"	""	"R-TRAD.-KEROSENE"	""	""	""	1400	49999	""		""		""		00000000000F13CE	""	""				" "	"N"
1386	8023	"BULBS, FLUORESCENT LAMP & LIGHTING ITEM"	"BULB-FLUOR-LAMPLIGHT"	"BULB-FLUOR-LAMPLIGHT"	"MANUFACTURING"	"ELECTRIC"	" "	"N"	6	"31501"	"322"		""	"NORMAL"	""	""	"711"	""	""	15	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"E"	""	"OTHER PRIORITY SECTOR"	"MISCELLANEOUS"	79	""	"01"	""	"ELECTRICAL INDUSTRIES"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F13CF	""	""				" "	"N"
10009	1700	"RABBIT REARING"	"RAB REA"	"RAB REA"	"AGRICULTURE"	"AH-OTH"	" "	"N"		"01209"	"139"		""	"NORMAL"	""	"53"	"999"	""	""	95	"AGRI"	"E"	"E"	"E"	"E"	"C"	"E"	"PD-AH"	"ANIMAL HUSBANDRY OTHER"	"RABBIT REARING FOR MEAT PRODUCTION"	41	""	"09"	""	"ANIMAL HUSBANDARY-OTHERS"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F13D0	""	""				"FARM-CREDIT"	"Y"
487	4108	"VEGETABLE/FRUIT/FRUIT JUICE"	"VEG-FRUIT-JUICE-RTL"	"VEG-FRUIT-JUICE-RTL"	"TRADING"	"RTL"	" "	"Y"		"52201"	"520"		""	"NORMAL"	""	"00"	"011"	""	""	95	"NONAGRI"	"E"	"C"	"C"	"C"	"E"	"C"	"NF"	"OTHER PRIORITY SECTOR"	"RETAIL TRADE/SMALL BUSINESS"	74	""	"04"	""	"RETAIL TRADE"	""	"4108"	""	"R-TRAD.-VEGETABLE/FRUIT/FRUIT JUICE"	""	""	""	1400	49999	""		""		""		00000000000F13D1	""	""				" "	"N"
1388	8025	"MANU. OF ELECTRO-THERMO APPLIANCES"	"MANU-ELECTRO-THERMO"	"MANU-ELECTRO-THERMO"	"MANUFACTURING"	"ELECTRIC"	" "	"N"	6	"29301"	"321"		""	"NORMAL"	""	""	"711"	""	""	15	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"E"	""	"OTHER PRIORITY SECTOR"	"MISCELLANEOUS"	79	""	"01"	""	"ELECTRICAL INDUSTRIES"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F13D2	""	""				" "	"N"
2148	4726	"CYCLE/RICKSHAW & PARTS"	"CYCLE-RICK-PART"	"CYCLE-RICK-PART"	"TRADING"	"WST"	" "	"Y"		"35901"	"330"		""	"NORMAL"	""	"51"	"999"	""	""		"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"E"	""	""	""		""	"03"	""	"WHOLE SALE TRADE"	""	"4726"	""	"WS TRAD.-CYCLE/RICKSHAW and PARTS"	""	""	""	1400	49999	""		""		""		00000000000F13D3	""	""				" "	"N"
518	4150	"PAPER & ALLIED PRODUCTS"	"PAPER-ALLD-PROD-RTL"	"PAPER-ALLD-PROD-RTL"	"TRADING"	"RTL"	" "	"Y"		"52313"	"520"		""	"NORMAL"	""	"00"	"604"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"C"	"NF"	"OTHER PRIORITY SECTOR"	"RETAIL TRADE/SMALL BUSINESS"	74	""	"04"	""	"RETAIL TRADE"	""	"4150"	""	"R-TRAD.-PAPER and ALLIED PRODUCTS"	""	""	""	1400	49999	""		""		""		00000000000F13D4	""	""				" "	"N"
2384	8027	"MINIATURE VACUUM BULB"	"MANU MNTR VACUM"	"MANU MNTR VACUM"	"MANUFACTURING"	"ELECTRIC"	" "	"N"	6	"31501"	"322"		""	""	""	""	"711"	""	""	15	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"E"	""	""	""		""	"11"	""	"ELECTRICAL INDUSTRIES"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F13D5	""	""				" "	"N"
1409	8111	"MANU. OF COLOR PICTURE TUBES"	"MANU-COLOR-PIC-TUBE"	"MANU-COLOR-PIC-TUBE"	"MANUFACTURING"	"ELECTRO"	" "	"N"	5	"32101"	"323"		""	"NORMAL"	""	""	"711"	""	""	10	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"E"	""	"OTHER PRIORITY SECTOR"	"MISCELLANEOUS"	79	""	"01"	""	"ELECTRONIC INDUSTRIES"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F13D6	""	""				" "	"N"
561	4192	"TRADING OF - OTHER VEGETABLE OIL"	"TRD-OTH-VEG-OIL-RTL"	"TRD-OTH-VEG-OIL-RTL"	"TRADING"	"RTL"	" "	"N"		"52201"	"520"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"C"	"NF"	"OTHER PRIORITY SECTOR"	"RETAIL TRADE/SMALL BUSINESS"	74	""	"04"	""	"RETAIL TRADE"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F13D7	""	""				" "	"N"
1411	8121	"MANUFACTURING OF CDS"	"MANU-CDS"	"MANU-CDS"	"MANUFACTURING"	"ELECTRO"	" "	"N"	5	"30001"	"323"		""	"NORMAL"	""	""	"711"	""	""	10	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"E"	""	"OTHER PRIORITY SECTOR"	"MISCELLANEOUS"	79	""	"01"	""	"ELECTRONIC INDUSTRIES"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F13D8	""	""				" "	"N"
688	4576	"REPAIRING INDUSTRIAL MACHINES"	"REP-INDUS-MACHI"	"REP-INDUS-MACHI"	"SERVICES"	"SERVICES"	" "	"N"		"93109"	"714"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"E"	"NF"	"NON FARM SECTOR & SSI"	"MISCELLANEOUS"	71	""	"06"	""	"SERVICES ACTIVITIES"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F13D9	""	""				" "	"N"
562	4193	"TRADING OF - COTTON & KAPAS - INDIGENOUS"	"TRD COTTON IND"	"TRD COTTON IND"	"TRADING"	"RTL"	" "	"N"		"52302"	"199"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"C"	"NF"	"OTHER PRIORITY SECTOR"	"RETAIL TRADE/SMALL BUSINESS"	74	""	"04"	""	"RETAIL TRADE"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F13DA	""	""				" "	"N"
1413	8123	"MFG. OF SEMI-CONDUCTORS"	"MFG-SEMI-CONDUCTOR"	"MFG-SEMI-CONDUCTOR"	"MANUFACTURING"	"ELECTRO"	" "	"N"	5	"32101"	"323"		""	"NORMAL"	""	""	"711"	""	""	10	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"E"	""	"OTHER PRIORITY SECTOR"	"MISCELLANEOUS"	79	""	"01"	""	"ELECTRONIC INDUSTRIES"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F13DB	""	""				" "	"N"
10004	2374	"AGRO PROC -SILK & SILK MIXED FIBERS"	"AG PROC SILK"	"AG PROC SILK"	"AGRICULTURE"	"AGR-OTH"	" "	"N"		"15409"	"209"		"64"	"NORMAL"	""	""	"616"	""	""		""	""	""	""	""	""	""	""	""	""	79	""	"9"	""	"AGRICULTURE-OTHERS"	""	""	""	""	""	""	""	3834	49999	""		"D2K"		""		00000000000F13DC	""	""				"AGRI-Ancillary"	"N"
81	2001	"NATURAL FISH PONDS"	"NAT FISH POND"	"NAT FISH POND"	"AGRICULTURE"	"FISH-INLD"	"ALLIED"	"N"		"05001"	"133"		""	"NORMAL"	""	""	"999"	""	""	95	"AGRI"	"E"	"E"	"E"	"E"	"C"	"E"	"PD-AH"	"FISHERIES"	"NATURAL FISH PONDS"	44	""	"09"	""	"FISHERIES INLAND"	"Y"	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F13DD	""	""				"FARM-CREDIT"	"Y"
2315	6532	"WOOL YARN"	"WOOL YARN"	"WOOL YARN"	"MANUFACTURING"	"TEXTILES"	" "	"N"	12	"17104"	"219"		""	"NORMAL"	""	""	"623"	""	""	20	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"E"	""	""	""		""	"01"	""	"TEXTILE INDUSTRIES"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F13DE	"Y"	""				" "	"N"
83	2003	"ARTIFICIAL TANK UNIT"	"ARTIFICIAL TANK"	"ARTIFICIAL TANK"	"AGRICULTURE"	"FISH-INLD"	"ALLIED"	"N"		"05001"	"133"		""	"NORMAL"	""	""	"999"	""	""	95	"AGRI"	"E"	"E"	"E"	"E"	"C"	"E"	"IV-AG"	"FISHERIES"	"TANK UNITS"		""	"09"	""	"FISHERIES INLAND"	"Y"	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F13DF	""	""				"FARM-CREDIT"	"Y"
241	2572	"CARDAMOM"	"CARDAMOM"	"CARDAMOM"	"AGRICULTURE"	"PLANTATION"	"CASH CROP"	"N"		"01127"	"110"		""	"NORMAL"	""	""	"017"	""	""	95	"AGRI"	"E"	"E"	"E"	"E"	"C"	"E"	"PD-AG"	"PLANTATION/HORTICULTURE"	"SPICES"	28	""	"09"	""	"AGRICULTURE-PLANTATION"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F13FC	""	""				"FARM-CREDIT"	"N"
119	2321	"SERICULTURE (FOR WORMS)"	"SERICULTURE WORMS"	"SERICULTURE WORMS"	"AGRICULTURE"	"OTH-ALLIED"	" "	"Y"		"01204"	"139"		""	"NORMAL"	""	"53"	"999"	""	""	95	"AGRI"	"E"	"E"	"E"	"E"	"C"	"E"	"PD-AH"	"PLANTATION/HORTICULTURE"	"SERICULTURE (FOR WORMS)"	26	""	"09"	""	"AGRICULTURE-OTHERS"	""	"2321"	""	"SERICULTURE (FOR WORMS)"	""	""	""	1400	49999	""		""		""		00000000000F13FD	""	""				"FARM-CREDIT"	"Y"
2084	2703	"ASPARAGUS"	"ASPARAGUS"	"ASPARAGUS"	"AGRICULTURE"	"FARM-CROP"	"CASH CROP"	"N"		"01127"	"110"		""	"NORMAL"	""	""	"999"	""	""		"AGRI"	"E"	"E"	"E"	"C"	"E"	"E"	"PD-AG"	"CROP LOANS"	"MISCELLANEOUS"	94	""	"09"	""	"AGRICULTURE- FARM CROP LOANS"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F13FE	""	""				"FARM-CREDIT"	"N"
121	2323	"VERMICULTURE (EARTH WORM FARMING)"	"VERMICULTURE"	"VERMICULTURE"	"AGRICULTURE"	"AGR-OTH"	" "	"N"		"01209"	"139"		""	"NORMAL"	""	""	"999"	""	""	95	"AGRI"	"E"	"E"	"E"	"E"	"C"	"E"	"PD-AH"	"OTHER AGRICULTURE & ALLIED ACTIVITIES"	"MISCELLANEOUS"	64	""	"09"	""	"AGRICULTURE-OTHERS"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F13FF	""	""				"AGRI-IFRA"	"N"
362	3315	"EDU LOAN FOR PERSONNEL MANAGEMENT"	"EDU-LOAN-PERS-MGMT"	"EDU-LOAN-PERS-MGMT"	"EDUCATION"	"EDU"	" "	"N"		"95014"	"874"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"C"	""	"OTHER PRIORITY SECTOR"	"EDUCATION LOANS"	76	""	"11"	""	"EDUCATION LOAN"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F1401	""	""				" "	"N"
2054	2325	"COMPOST"	"COMPOST"	"COMPOST"	"AGRICULTURE"	"AGR-OTH"	" "	"Y"		"01159"	"120"		""	"NORMAL"	""	"53"	"999"	""	""		"AGRI"	"E"	"E"	"E"	"E"	"C"	"E"	"PD-AG"	""	""		""	"09"	""	"AGRICULTURE-OTHERS"	"Y"	"2325"	""	"COMPOST"	""	""	""	1400	49999	""		""		""		00000000000F1402	""	""				"FARM-CREDIT"	"N"
364	3317	"EDU LOAN FOR TEXTILE TECHNOLOGY"	"EDU-LOAN-TEXT-TECH"	"EDU-LOAN-TEXT-TECH"	"EDUCATION"	"EDU"	" "	"N"		"95014"	"874"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"C"	""	"OTHER PRIORITY SECTOR"	"EDUCATION LOANS"	76	""	"11"	""	"EDUCATION LOAN"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F1403	""	""				" "	"N"
366	3319	"EDU LOAN FOR FOOTWEAR DESIGNING/TECHNOLOGY"	"EDU-LOAN-FOOTWEAR"	"EDU-LOAN-FOOTWEAR"	"EDUCATION"	"EDU"	" "	"N"		"95014"	"874"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"C"	""	"OTHER PRIORITY SECTOR"	"EDUCATION LOANS"	76	""	"11"	""	"EDUCATION LOAN"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F1404	""	""				" "	"N"
10006	2376	"AGRO PROC -PAPER  FROM VIRGIN PULP/BAGASSE OR ANY OTHER AGR PRODUCTS"	"AG PROC PAPER"	"AG PROC PAPER"	"AGRICULTURE"	"AGR-OTH"	" "	"N"		"15409"	"209"		"64"	"NORMAL"	""	""	"604"	""	""		""	""	""	""	""	""	""	""	""	""	79	""	"9"	""	"AGRICULTURE-OTHERS"	""	""	""	""	""	""	""	3834	49999	""		"D2K"		""		00000000000F1405	""	""				"AGRI-Ancillary"	"N"
0	0	"DATA / VALUE NOT PROVIDED"	"DNP"	"DNP"	"OTHERS"	"OTHERS"	" "	"Y"		"99999"	"890"		""	"NORMAL"	""	"00"	""	""	""		"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"E"	""	""	""		""	"11"	""	" "	"Y"	"0"	""	"0 FOR LOANS/DEPOSITS"	""	""	""	1400	49999	""		"D2K"		""		00000000000F1406	""	""				" "	"N"
368	3321	"EDU LOAN FOR CERAMIC TECHNOLOGY"	"EDU-LOAN-CERA-TECH"	"EDU-LOAN-CERA-TECH"	"EDUCATION"	"EDU"	" "	"N"		"95014"	"874"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"C"	""	"OTHER PRIORITY SECTOR"	"EDUCATION LOANS"	76	""	"11"	""	"EDUCATION LOAN"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F1407	""	""				" "	"N"
2	1002	"BORE WELL"	"BORE WELL"	"BORE WELL"	"AGRICULTURE"	"AG-MI"	" "	"N"		"01154"	"120"		""	"NORMAL"	""	""	"999"	""	""	95	"AGRI"	"C"	"E"	"E"	"C"	"C"	"E"	"IV-AG"	"MINOR IRRIGATION"	"MISCELLANEOUS"	7	""	"09"	""	"AGRICULTURE-MINOR IRRIGATION"	"Y"	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F1408	""	""				"FARM-CREDIT"	"N"
370	3323	"EDU LOAN FOR BIO CHEMISTRY"	"EDU-LOAN-BIO-CHEM"	"EDU-LOAN-BIO-CHEM"	"EDUCATION"	"EDU"	" "	"N"		"95014"	"874"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"C"	""	"OTHER PRIORITY SECTOR"	"EDUCATION LOANS"	76	""	"11"	""	"EDUCATION LOAN"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F1409	""	""				" "	"N"
4	1004	"BORE WELL WITH PUMP SETS"	"BORE WELL PUMP"	"BORE WELL PUMP"	"AGRICULTURE"	"AG-MI"	" "	"Y"		"01154"	"120"		""	"NORMAL"	""	"53"	"999"	""	""	95	"AGRI"	"C"	"E"	"E"	"C"	"C"	"E"	"IV-AG"	"MINOR IRRIGATION"	"BORE WELL WITH PUMP SETS"	2	""	"09"	""	"AGRICULTURE-MINOR IRRIGATION"	"Y"	"1004"	""	"BORE WELL WITH PUMP SETS"	""	""	""	1400	49999	""		""		""		00000000000F140A	""	""				"FARM-CREDIT"	"N"
372	3325	"EDU LOAN FOR COMPUTER EDUCATION - GOVT. ORGANISATION"	"EDU-LOAN-CMP-GOVT"	"EDU-LOAN-CMP-GOVT"	"EDUCATION"	"EDU"	" "	"Y"		"95014"	"874"		""	"NORMAL"	""	"08"	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"C"	""	"OTHER PRIORITY SECTOR"	"EDUCATION LOANS"	76	""	"11"	""	"EDUCATION LOAN"	""	"3325"	""	"EDU LOAN FOR COMPUTER EDUCATION - GOVT. ORGANISATION"	""	""	""	1400	49999	""		""		""		00000000000F140B	""	""				" "	"N"
1683	1006	"DEEP TUBE WELLS"	"DEEP TUBE WELL"	"DEEP TUBE WELL"	"AGRICULTURE"	"AG-MI"	" "	"N"		"01154"	"120"		""	"NORMAL"	""	""	"999"	""	""		"AGRI"	"C"	"E"	"E"	"C"	"C"	"E"	"IV-AG"	""	""		""	"09"	""	"AGRICULTURE-MINOR IRRIGATION"	"Y"	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F140C	""	""				"FARM-CREDIT"	"N"
374	3327	"EDU LOAN FOR NURSING"	"NURSING"	"NURSING"	"EDUCATION"	"EDU"	" "	"Y"		"95014"	"874"		""	"NORMAL"	""	"08"	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"C"	""	"OTHER PRIORITY SECTOR"	"EDUCATION LOANS"	76	""	"11"	""	"EDUCATION LOAN"	""	"3327"	""	"EDU LOAN FOR NURSING"	""	""	""	1400	49999	""		""		""		00000000000F140D	""	""				" "	"N"
5	1010	"IP SETS"	"IP SET"	"IP SET"	"AGRICULTURE"	"AG-MI"	" "	"N"		"01154"	"120"		""	"NORMAL"	""	""	"999"	""	""	95	"AGRI"	"C"	"E"	"E"	"C"	"C"	"E"	"IV-AG"	"MINOR IRRIGATION"	"IP SETS"	3	""	"09"	""	"AGRICULTURE-MINOR IRRIGATION"	"Y"	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F140E	""	""				"FARM-CREDIT"	"N"
