"IDENTITYKEY"	"USERID"	"DESCRIPTION"	"MODE_"	"STARTTIME"	"ENDTIME"	"TIMETAKEN_SEC"	"TIMEKEY"	"SETID"	"PROC_LOC"	"STATUSFLAG"
1321	"dbcreater"	"UPDATE CONDI_STD IN PRO.AccountCal"	"COMPLETE"	30-SEP-23 02.34.32.757000000 PM	30-SEP-23 02.34.32.760000000 PM	0	26936	1	""	""
1322	"dbcreater"	"UPDATE Last Credit Date"	"COMPLETE"	30-SEP-23 02.34.32.760000000 PM	30-SEP-23 02.34.32.760000000 PM	0	26936	1	""	""
1323	"dbcreater"	"UPDATE AddlProvisionAmount  AT Account level"	"COMPLETE"	30-SEP-23 02.34.32.760000000 PM	30-SEP-23 02.34.32.760000000 PM	0	26936	1	""	""
1324	"dbcreater"	"MOC UPDATES AUTO AND MANUAL"	"RUNNING"	30-SEP-23 02.34.32.793000000 PM			26936	1	""	""
1791	"D2KT\DBSERVER$"	"UPDATE Repossessed ACCOUNT MARKING  IN PRO.ACCOUNTCAL"	"COMPLETE"	20-NOV-23 03.09.21.143000000 PM	20-NOV-23 03.09.21.143000000 PM	0	26844	6	""	""
1792	"D2KT\DBSERVER$"	"UPDATE Inherent Weakness ACCOUNT MARKING  IN PRO.ACCOUNTCAL"	"COMPLETE"	20-NOV-23 03.09.21.143000000 PM	20-NOV-23 03.09.21.147000000 PM	0	26844	6	""	""
1793	"D2KT\DBSERVER$"	"UPDATE SARFAESI ACCOUNT MARKING IN PRO.ACCOUNTCAL"	"COMPLETE"	20-NOV-23 03.09.21.147000000 PM	20-NOV-23 03.09.21.147000000 PM	0	26844	6	""	""
1794	"D2KT\DBSERVER$"	"UPDATE FRAUD ACCOUNT MARKING  IN PRO.ACCOUNTCAL"	"COMPLETE"	20-NOV-23 03.09.21.147000000 PM	20-NOV-23 03.09.21.147000000 PM	0	26844	6	""	""
1795	"D2KT\DBSERVER$"	"UPDATE EXCEPTIONAL DEGRADATION MARKING IN PRO.CUSTOMERCAL"	"COMPLETE"	20-NOV-23 03.09.21.147000000 PM	20-NOV-23 03.09.21.163000000 PM	0	26844	6	""	""
1796	"D2KT\DBSERVER$"	"UPDATE Repossessed ACCOUNT MARKING  IN PRO.ACCOUNTCAL"	"COMPLETE"	25-JAN-24 01.07.32.723000000 PM	25-JAN-24 01.07.32.733000000 PM	0	26844	7	""	""
1797	"D2KT\DBSERVER$"	"UPDATE Inherent Weakness ACCOUNT MARKING  IN PRO.ACCOUNTCAL"	"COMPLETE"	25-JAN-24 01.07.32.733000000 PM	25-JAN-24 01.07.32.743000000 PM	0	26844	7	""	""
1798	"D2KT\DBSERVER$"	"UPDATE SARFAESI ACCOUNT MARKING IN PRO.ACCOUNTCAL"	"COMPLETE"	25-JAN-24 01.07.32.743000000 PM	25-JAN-24 01.07.32.750000000 PM	0	26844	7	""	""
1799	"D2KT\DBSERVER$"	"UPDATE FRAUD ACCOUNT MARKING  IN PRO.ACCOUNTCAL"	"COMPLETE"	25-JAN-24 01.07.32.753000000 PM	25-JAN-24 01.07.32.757000000 PM	0	26844	7	""	""
1800	"D2KT\DBSERVER$"	"UPDATE EXCEPTIONAL DEGRADATION MARKING IN PRO.CUSTOMERCAL"	"COMPLETE"	25-JAN-24 01.07.32.760000000 PM	25-JAN-24 01.07.32.767000000 PM	0	26844	7	""	""
1801	"DM1028"	"INSERT DATA FOR PRO.CUSTOMERCAL CAL TABLE"	"COMPLETE"	14-FEB-24 07.19.25.177000000 PM	14-FEB-24 07.19.31.633000000 PM	6	27067	1	""	""
1802	"DM1028"	"INSERT DATA IN ACCOUNTCAL TABLE"	"COMPLETE"	14-FEB-24 07.19.31.633000000 PM	14-FEB-24 07.19.54.380000000 PM	23	27067	1	""	""
1803	"DM1028"	"UPDATE PANNO"	"COMPLETE"	14-FEB-24 07.19.54.380000000 PM	14-FEB-24 07.19.54.607000000 PM	0	27067	1	""	""
1804	"DM1028"	"UPDATE AADHAR NUMBER IN CUSTOMER CAL"	"COMPLETE"	14-FEB-24 07.19.54.610000000 PM	14-FEB-24 07.19.54.807000000 PM	0	27067	1	""	""
1805	"DM1028"	"INSERT INVALID PANCARDNO|AADHARCARDNO"	"COMPLETE"	14-FEB-24 07.19.54.807000000 PM	14-FEB-24 07.19.54.927000000 PM	0	27067	1	""	""
1806	"DM1028"	"UPDATE ProductCode IN ACCOUNTCAL"	"COMPLETE"	14-FEB-24 07.19.54.927000000 PM	14-FEB-24 07.20.06.943000000 PM	12	27067	1	""	""
1807	"DM1028"	"UPDATE DRAWINGPOWER|REVIEWDUEDT FOR ALL ACCOUNT"	"COMPLETE"	14-FEB-24 07.20.06.943000000 PM	14-FEB-24 07.20.13.030000000 PM	7	27067	1	""	""
1808	"DM1028"	"UPDATE Asset_Norm|FacilityType ISLAD  ACCOUNT"	"COMPLETE"	14-FEB-24 07.20.13.033000000 PM	14-FEB-24 07.20.14.710000000 PM	1	27067	1	""	""
1809	"DM1028"	"UPDATE BANK ASSET CLASSIFICATION IN ACCOUNTCAL"	"COMPLETE"	14-FEB-24 07.20.14.710000000 PM	14-FEB-24 07.20.14.783000000 PM	0	27067	1	""	""
1810	"DM1028"	"UPDATE ContiExcessDt FOR CC ACCOUNT"	"COMPLETE"	14-FEB-24 07.20.14.790000000 PM	14-FEB-24 07.20.21.580000000 PM	7	27067	1	""	""
1811	"DM1028"	"UPDATE Balance,LastCrDate,CreditsinceDt FOR ALL ACCOUNT"	"COMPLETE"	14-FEB-24 07.20.21.583000000 PM	14-FEB-24 07.20.33.380000000 PM	12	27067	1	""	""
1812	"DM1028"	"UPDATE OVERDUE SINCE DATE DUE TO DPD MAX FOR VISION PLUS DATA ONLY"	"COMPLETE"	14-FEB-24 07.20.34.100000000 PM	14-FEB-24 07.20.38.367000000 PM	4	27067	1	""	""
1813	"DM1028"	"SrcAssetClass_Key key|SysAssetClassAlt_Key"	"COMPLETE"	14-FEB-24 07.20.38.367000000 PM	14-FEB-24 07.20.48.637000000 PM	10	27067	1	""	""
1814	"DM1028"	"UPDATE SYSASSETCLASSALT_KEY|SYSNPA_DT BY PAN NO"	"COMPLETE"	14-FEB-24 07.20.48.637000000 PM	14-FEB-24 07.20.48.637000000 PM	0	27067	1	""	""
1815	"DM1028"	"UPDATE SYSASSETCLASSALT_KEY|SYSNPA_DT BY AADHARCARD NO"	"COMPLETE"	14-FEB-24 07.20.48.637000000 PM	14-FEB-24 07.20.48.643000000 PM	0	27067	1	""	""
1816	"DM1028"	"SplCatg Alt_Key ACCOUNT LEVEL"	"COMPLETE"	14-FEB-24 07.20.48.643000000 PM	14-FEB-24 07.20.52.617000000 PM	4	27067	1	""	""
1817	"DM1028"	"UPDATE SplCatg Alt_Key CUSTOMER LEVEL"	"COMPLETE"	14-FEB-24 07.20.52.620000000 PM	14-FEB-24 07.20.54.797000000 PM	2	27067	1	""	""
1818	"DM1028"	"MARKING OF ALWAYS STD Account LEVEL"	"COMPLETE"	14-FEB-24 07.20.54.797000000 PM	14-FEB-24 07.20.57.193000000 PM	3	27067	1	""	""
1819	"DM1028"	"marking  always NPA account table level"	"COMPLETE"	14-FEB-24 07.20.57.193000000 PM	14-FEB-24 07.20.58.700000000 PM	1	27067	1	""	""
1820	"DM1028"	"marking  always STD CUSTOMER  level"	"COMPLETE"	14-FEB-24 07.20.58.703000000 PM	14-FEB-24 07.20.59.350000000 PM	1	27067	1	""	""
1821	"DM1028"	"marking  always NPA CUSTOMER table level"	"COMPLETE"	14-FEB-24 07.20.59.353000000 PM	14-FEB-24 07.20.59.553000000 PM	0	27067	1	""	""
1822	"DM1028"	"UPDATE Accounts whose customer is in always standaed category"	"COMPLETE"	14-FEB-24 07.20.59.553000000 PM	14-FEB-24 07.20.59.923000000 PM	0	27067	1	""	""
1823	"DM1028"	"UPDATE Accounts whose customer is in always NPA category"	"COMPLETE"	14-FEB-24 07.20.59.927000000 PM	14-FEB-24 07.21.00.253000000 PM	1	27067	1	""	""
1824	"DM1028"	"CurrAssetClassAlt_Key update in Account Cal from customer Cal systemAssetclassalt_key"	"COMPLETE"	14-FEB-24 07.21.00.257000000 PM	14-FEB-24 07.21.09.290000000 PM	9	27067	1	""	""
1825	"DM1028"	"UPDATE InitialNpaDt AND FinalNpaDt AT Account  level from customer to account"	"COMPLETE"	14-FEB-24 07.21.09.297000000 PM	14-FEB-24 07.21.15.150000000 PM	6	27067	1	""	""
1826	"DM1028"	"marking always NPA account table level where vision plus  AccountBlockcode2=K"	"COMPLETE"	14-FEB-24 07.21.15.153000000 PM	14-FEB-24 07.21.16.687000000 PM	1	27067	1	""	""
1827	"DM1028"	"marking always NPA account table level where WriteOffAmount>0"	"COMPLETE"	14-FEB-24 07.21.16.687000000 PM	14-FEB-24 07.21.24.670000000 PM	8	27067	1	""	""
1828	"DM1028"	"UPDATE PrvQtrRV  AT Customer level"	"COMPLETE"	14-FEB-24 07.21.24.677000000 PM	14-FEB-24 07.21.24.737000000 PM	0	27067	1	""	""
1829	"DM1028"	"UPDATE CurntQtrRv  AT Customer level"	"COMPLETE"	14-FEB-24 07.21.24.743000000 PM	14-FEB-24 07.21.24.990000000 PM	0	27067	1	""	""
1830	"DM1028"	"UPDATE SECURITY FLAG WHERE SECURITY AT CUSTOMER LEVEL BUT  SecApp UNSECURED AT ACCOUNT LEVEL"	"RUNNING"	14-FEB-24 07.21.24.990000000 PM			27067	1	""	""
1831	"DM1028"	"update FlgAbinitio MARK at account level"	"COMPLETE"	14-FEB-24 07.21.25.223000000 PM	14-FEB-24 07.21.25.313000000 PM	0	27067	1	""	""
1832	"DM1028"	"update FlgFITL MARK at account level"	"COMPLETE"	14-FEB-24 07.21.25.320000000 PM	14-FEB-24 07.21.25.463000000 PM	0	27067	1	""	""
1833	"DM1028"	"UPDATE OVERDUESINCEDT FROM BILL DETAIL TABLE "	"COMPLETE"	14-FEB-24 07.21.25.463000000 PM	14-FEB-24 07.21.26.490000000 PM	1	27067	1	""	""
1834	"DM1028"	"UPDATE CoverGovGur BILL AT ACCOUNT LEVEL"	"COMPLETE"	14-FEB-24 07.21.26.490000000 PM	14-FEB-24 07.21.26.793000000 PM	0	27067	1	""	""
1835	"DM1028"	"UPDATE CoverGovGur PC AT ACCOUNT LEVEL"	"COMPLETE"	14-FEB-24 07.21.26.797000000 PM	14-FEB-24 07.21.27.127000000 PM	1	27067	1	""	""
1836	"DM1028"	"UPDATE CoverGovGur DL AT ACCOUNT LEVEL"	"COMPLETE"	14-FEB-24 07.21.27.127000000 PM	14-FEB-24 07.21.27.583000000 PM	0	27067	1	""	""
1837	"DM1028"	"UPDATE CoverGovGur CC AT ACCOUNT LEVEL"	"COMPLETE"	14-FEB-24 07.21.27.590000000 PM	14-FEB-24 07.21.27.790000000 PM	0	27067	1	""	""
1838	"DM1028"	"UPDATE PrvQtrInt,CurQtrInt,CurQtrCredit,PreQtrCredit"	"COMPLETE"	14-FEB-24 07.21.27.793000000 PM	14-FEB-24 07.21.44.043000000 PM	17	27067	1	""	""
1839	"DM1028"	"UPDATE INTNOTSERVICEDDT IN ##ACCOUNTCAL"	"COMPLETE"	14-FEB-24 07.21.44.043000000 PM	14-FEB-24 07.21.45.740000000 PM	1	27067	1	""	""
1840	"DM1028"	"OVERDUE SINCE DATE IS AVAILABLE BUT OVERDUE AMOUT IS ZERO"	"COMPLETE"	14-FEB-24 07.21.45.740000000 PM	14-FEB-24 07.21.45.740000000 PM	0	27067	1	""	""
1841	"DM1028"	"Stock statement date Data Preperation"	"COMPLETE"	14-FEB-24 07.21.45.740000000 PM	14-FEB-24 07.21.45.747000000 PM	0	27067	1	""	""
1842	"DM1028"	"update stock statement date in ##ACCOUNTCAL"	"COMPLETE"	14-FEB-24 07.21.45.747000000 PM	14-FEB-24 07.21.46.053000000 PM	1	27067	1	""	""
1843	"DM1028"	"UPDATE DerecognisedInterest1 AMT IN ##ACCOUNTCAL"	"COMPLETE"	14-FEB-24 07.21.46.053000000 PM	14-FEB-24 07.21.46.490000000 PM	0	27067	1	""	""
1844	"DM1028"	"UPDATE DerecognisedInterest2 AMT IN ##ACCOUNTCAL"	"COMPLETE"	14-FEB-24 07.21.46.490000000 PM	14-FEB-24 07.21.46.913000000 PM	0	27067	1	""	""
1845	"DM1028"	"UPDATE GovGurAmt FROM ADVACOTHERDETAIL"	"COMPLETE"	14-FEB-24 07.21.46.913000000 PM	14-FEB-24 07.21.47.180000000 PM	1	27067	1	""	""
1846	"DM1028"	"UPDATE UnserviedInt FROM AdvAcFinancialDetail"	"COMPLETE"	14-FEB-24 07.21.47.180000000 PM	14-FEB-24 07.21.47.180000000 PM	0	27067	1	""	""
1847	"DM1028"	"UPDATE FRAUD ACCOUNT MARKING  IN ##ACCOUNTCAL"	"COMPLETE"	14-FEB-24 07.21.47.180000000 PM	14-FEB-24 07.21.47.277000000 PM	0	27067	1	""	""
1848	"DM1028"	"UPDATE FRAUD ACCOUNT MARKING  IN ##CUSTOMERCAL"	"COMPLETE"	14-FEB-24 07.21.47.277000000 PM	14-FEB-24 07.21.47.693000000 PM	0	27067	1	""	""
1849	"DM1028"	"UPDATE IBPC MARKING  IN ##ACCOUNTCAL"	"COMPLETE"	14-FEB-24 07.21.47.700000000 PM	14-FEB-24 07.21.47.740000000 PM	0	27067	1	""	""
1850	"DM1028"	"UPDATE Securitised MARKING  IN ##ACCOUNTCAL"	"COMPLETE"	14-FEB-24 07.21.47.740000000 PM	14-FEB-24 07.21.47.770000000 PM	0	27067	1	""	""
1851	"DM1028"	"UPDATE PUI MARKING  IN ##ACCOUNTCAL"	"COMPLETE"	14-FEB-24 07.21.47.770000000 PM	14-FEB-24 07.21.47.797000000 PM	0	27067	1	""	""
1852	"DM1028"	"UPDATE RFA MARKING  IN ##ACCOUNTCAL"	"COMPLETE"	14-FEB-24 07.21.47.800000000 PM	14-FEB-24 07.21.47.880000000 PM	0	27067	1	""	""
1853	"DM1028"	"UPDATE NonCooperative MARKING  IN ##ACCOUNTCAL"	"COMPLETE"	14-FEB-24 07.21.47.880000000 PM	14-FEB-24 07.21.47.953000000 PM	0	27067	1	""	""
1854	"DM1028"	"UPDATE Repossessed ACCOUNT MARKING  IN ##ACCOUNTCAL"	"COMPLETE"	14-FEB-24 07.21.47.953000000 PM	14-FEB-24 07.21.48.540000000 PM	1	27067	1	""	""
1855	"DM1028"	"UPDATE Inherent Weakness ACCOUNT MARKING  IN ##ACCOUNTCAL"	"COMPLETE"	14-FEB-24 07.21.48.547000000 PM	14-FEB-24 07.21.49.057000000 PM	1	27067	1	""	""
1856	"DM1028"	"UPDATE SARFAESI ACCOUNT MARKING IN ##ACCOUNTCAL"	"COMPLETE"	14-FEB-24 07.21.49.057000000 PM	14-FEB-24 07.21.49.670000000 PM	0	27067	1	""	""
1857	"DM1028"	"UPDATE RC-Pending MARKING  IN ##ACCOUNTCAL"	"COMPLETE"	14-FEB-24 07.21.49.670000000 PM	14-FEB-24 07.21.49.750000000 PM	0	27067	1	""	""
1858	"DM1028"	"UPDATE Written-Off Accounts MARKING IN ##ACCOUNTCAL"	"COMPLETE"	14-FEB-24 07.21.49.750000000 PM	14-FEB-24 07.21.50.460000000 PM	1	27067	1	""	""
1859	"DM1028"	"UPDATE CONDI_STD IN ##ACCOUNTCAL"	"COMPLETE"	14-FEB-24 07.21.50.460000000 PM	14-FEB-24 07.21.51.577000000 PM	1	27067	1	""	""
1860	"DM1028"	"UPDATE Last Credit Date"	"COMPLETE"	14-FEB-24 07.21.51.577000000 PM	14-FEB-24 07.21.53.303000000 PM	2	27067	1	""	""
1861	"DM1028"	"UPDATE AddlProvisionAmount  AT Account level"	"COMPLETE"	14-FEB-24 07.21.53.307000000 PM	14-FEB-24 07.21.53.310000000 PM	0	27067	1	""	""
1862	"DM1028"	"MOC UPDATES AUTO AND MANUAL"	"COMPLETE"	14-FEB-24 07.22.01.717000000 PM	14-FEB-24 07.22.08.370000000 PM	7	27067	1	""	""
1863	"DM1028"	"CoBorrower"	"COMPLETE"	14-FEB-24 07.22.08.377000000 PM	14-FEB-24 07.22.08.797000000 PM	0	27067	1	""	""
1864	"DM1028"	"Reference_Period_Calculation"	"COMPLETE"	14-FEB-24 07.22.09.250000000 PM	14-FEB-24 07.22.48.017000000 PM	39	27067	2	""	""
1865	"DM1028"	"DPD_Calculation"	"COMPLETE"	14-FEB-24 07.22.48.020000000 PM	14-FEB-24 07.23.03.717000000 PM	15	27067	2	""	""
1866	"DM1028"	"Marking_InMonthMark_Customer_Account_level"	"COMPLETE"	14-FEB-24 07.23.03.737000000 PM	14-FEB-24 07.23.07.723000000 PM	4	27067	2	""	""
1867	"DM1028"	"Marking_FlgDeg_Degreason"	"COMPLETE"	14-FEB-24 07.23.07.727000000 PM	14-FEB-24 07.23.21.667000000 PM	14	27067	2	""	""
1868	"DM1028"	"MaxDPD_ReferencePeriod_Calculation"	"COMPLETE"	14-FEB-24 07.23.21.670000000 PM	14-FEB-24 07.23.41.010000000 PM	20	27067	2	""	""
1869	"DM1028"	"NPA_Date_Calculation"	"COMPLETE"	14-FEB-24 07.23.41.010000000 PM	14-FEB-24 07.23.46.910000000 PM	5	27067	2	""	""
1870	"DM1028"	"Update_AssetClass"	"COMPLETE"	14-FEB-24 07.23.46.910000000 PM	14-FEB-24 07.24.31.537000000 PM	45	27067	2	""	""
1871	"DM1028"	"NPA_Erosion_Aging"	"COMPLETE"	14-FEB-24 07.24.31.537000000 PM	14-FEB-24 07.24.35.390000000 PM	4	27067	2	""	""
1872	"DM1028"	"Final_AssetClass_Npadate"	"COMPLETE"	14-FEB-24 07.24.35.390000000 PM	14-FEB-24 07.24.54.373000000 PM	19	27067	2	""	""
1873	"DM1028"	"Upgrade_Customer_Account"	"COMPLETE"	14-FEB-24 07.24.54.373000000 PM	14-FEB-24 07.25.11.563000000 PM	17	27067	2	""	""
1874	"DM1028"	"SMA_MARKING"	"COMPLETE"	14-FEB-24 07.25.11.563000000 PM	14-FEB-24 07.25.51.720000000 PM	40	27067	2	""	""
1875	"DM1028"	"Marking_FlgPNPA"	"COMPLETE"	14-FEB-24 07.25.51.720000000 PM	14-FEB-24 07.26.05.400000000 PM	14	27067	2	""	""
1876	"DM1028"	"Marking_NPA_Reason_NPAAccount"	"COMPLETE"	14-FEB-24 07.26.05.403000000 PM	14-FEB-24 07.26.22.153000000 PM	17	27067	2	""	""
1877	"DM1028"	"UpdateProvisionKey_AccountWise"	"COMPLETE"	14-FEB-24 07.26.22.153000000 PM	14-FEB-24 07.26.40.430000000 PM	18	27067	2	""	""
1878	"DM1028"	"UpdateNetBalance_AccountWise"	"COMPLETE"	14-FEB-24 07.26.40.430000000 PM	14-FEB-24 07.26.48.623000000 PM	8	27067	2	""	""
1879	"DM1028"	"GovtGuarAppropriation"	"COMPLETE"	14-FEB-24 07.26.48.623000000 PM	14-FEB-24 07.26.58.843000000 PM	10	27067	2	""	""
1880	"DM1028"	"SecurityAppropriation"	"COMPLETE"	14-FEB-24 07.26.58.843000000 PM	14-FEB-24 07.27.04.060000000 PM	6	27067	2	""	""
1881	"DM1028"	"UpdateUsedRV"	"COMPLETE"	14-FEB-24 07.27.04.060000000 PM	14-FEB-24 07.27.10.833000000 PM	6	27067	2	""	""
1882	"DM1028"	"ProvisionComputationSecured"	"COMPLETE"	14-FEB-24 07.27.10.833000000 PM	14-FEB-24 07.27.34.403000000 PM	24	27067	2	""	""
1883	"DM1028"	"GovtGurCoverAmount"	"COMPLETE"	14-FEB-24 07.27.34.403000000 PM	14-FEB-24 07.27.42.013000000 PM	8	27067	2	""	""
1884	"DM1028"	"UpdationProvisionComputationUnSecured"	"COMPLETE"	14-FEB-24 07.27.42.013000000 PM	14-FEB-24 07.28.02.247000000 PM	20	27067	2	""	""
1885	"DM1028"	"UpdationTotalProvision"	"COMPLETE"	14-FEB-24 07.28.02.250000000 PM	14-FEB-24 07.28.22.740000000 PM	20	27067	2	""	""
1886	"DM1028"	"Global table to Main Table"	"COMPLETE"	14-FEB-24 07.28.23.250000000 PM	14-FEB-24 07.28.57.050000000 PM	34	27067	3	""	""
1887	"DM1028"	"InsertDataIntoHistTable"	"RUNNING"	14-FEB-24 07.28.57.053000000 PM			27067	3	""	""
2317	"DM762"	"INSERT DATA FOR PRO.CUSTOMERCAL CAL TABLE"	"COMPLETE"	16-FEB-24 10.56.40.697000000 AM	16-FEB-24 10.56.46.390000000 AM	6	27068	11	""	""
2318	"DM762"	"INSERT DATA IN ACCOUNTCAL TABLE"	"COMPLETE"	16-FEB-24 10.56.46.390000000 AM	16-FEB-24 10.57.00.160000000 AM	14	27068	11	""	""
2319	"DM762"	"UPDATE PANNO"	"COMPLETE"	16-FEB-24 10.57.00.160000000 AM	16-FEB-24 10.57.00.400000000 AM	0	27068	11	""	""
2320	"DM762"	"UPDATE AADHAR NUMBER IN CUSTOMER CAL"	"COMPLETE"	16-FEB-24 10.57.00.403000000 AM	16-FEB-24 10.57.00.680000000 AM	0	27068	11	""	""
2321	"DM762"	"INSERT INVALID PANCARDNO|AADHARCARDNO"	"COMPLETE"	16-FEB-24 10.57.00.680000000 AM	16-FEB-24 10.57.00.873000000 AM	0	27068	11	""	""
2322	"DM762"	"UPDATE ProductCode IN ACCOUNTCAL"	"COMPLETE"	16-FEB-24 10.57.00.873000000 AM	16-FEB-24 10.57.14.837000000 AM	14	27068	11	""	""
2323	"DM762"	"UPDATE DRAWINGPOWER|REVIEWDUEDT FOR ALL ACCOUNT"	"COMPLETE"	16-FEB-24 10.57.14.837000000 AM	16-FEB-24 10.57.24.983000000 AM	10	27068	11	""	""
2324	"DM762"	"UPDATE Asset_Norm|FacilityType ISLAD  ACCOUNT"	"COMPLETE"	16-FEB-24 10.57.24.983000000 AM	16-FEB-24 10.57.26.403000000 AM	2	27068	11	""	""
2325	"DM762"	"UPDATE BANK ASSET CLASSIFICATION IN ACCOUNTCAL"	"COMPLETE"	16-FEB-24 10.57.26.403000000 AM	16-FEB-24 10.57.26.447000000 AM	0	27068	11	""	""
